#;OrderNumber;OrderDate;Product Name;Warehouse Code;Channel;City;Country;Customer Names;Region Group;ABC_XYZ;RFM;Order Quantity;Unit Price;Line Total;Total Unit Cost;Profit;Margin
1;SO - 0001219;06.10.2014;Product 7;AXW291;Wholesale;LONDON;UK;Pacific Ltd;Lower Regions;AZ;511;5;180,9;904,5;130,248;253,26;28
2;SO - 0005739;28.03.2016;Product 7;AXW291;Wholesale;LONDON;UK;AuroMedics Corp;Lower Regions;AZ;244;5;1132,3;5661,5;600,119;2660,905;47
3;SO - 0005756;28.03.2016;Product 7;AXW291;Export;LONDON;UK;OUR Ltd;Lower Regions;AZ;244;5;3631,4;18157;1561,502;10349,49;57
4;SO - 0003949;24.08.2015;Product 7;AXW291;Wholesale;LONDON;UK;21st Ltd;Lower Regions;AZ;331;6;3088,7;18532,2;2069,429;6115,626;33
5;SO - 0005126;18.01.2016;Product 7;AXW291;Wholesale;LONDON;UK;Procter Corp;Lower Regions;AZ;242;6;978,2;5869,2;684,74;1760,76;30
6;SO - 0006661;11.07.2016;Product 7;AXW291;Wholesale;LONDON;UK;Amylin Group;Lower Regions;AZ;153;6;3370,1;20220,6;2257,967;6672,798;33
7;SO - 0006737;25.07.2016;Product 7;AXW291;Wholesale;LONDON;UK;Ohio;Lower Regions;AZ;155;6;1206;7236;964,8;1447,2;20
8;SO - 000450;07.07.2014;Product 7;AXW291;Wholesale;LONDON;UK;Pacific Ltd;Lower Regions;AZ;513;7;1078,7;7550,9;906,108;1208,144;16
9;SO - 0005414;15.02.2016;Product 7;AXW291;Wholesale;LONDON;UK;Niconovum Corp;Lower Regions;AZ;244;7;1835,8;12850,6;1413,566;2955,638;23
10;SO - 000992;08.09.2014;Product 7;AXW291;Export;LONDON;UK;Bare;Lower Regions;AZ;512;7;3912,8;27389,6;2778,088;7942,984;29
11;SO - 0003588;13.07.2015;Product 7;AXW291;Export;LONDON;UK;Mylan Corp;Lower Regions;AZ;333;7;214,4;1500,8;137,216;540,288;36
12;SO - 0002741;06.04.2015;Product 7;AXW291;Wholesale;LONDON;UK;Fenwal, Corp;Lower Regions;AZ;424;9;1775,5;15979,5;1473,665;2716,515;17
13;SO - 0004386;19.10.2015;Product 7;AXW291;Distributor;LONDON;UK;Victory Ltd;Lower Regions;AZ;333;9;1045,2;9406,8;418,08;5644,08;60
14;SO - 0004448;26.10.2015;Product 7;AXW291;Wholesale;LONDON;UK;Winthrop;Lower Regions;AZ;331;11;3845,8;42303,8;2615,144;13537,216;32
15;SO - 0006227;23.05.2016;Product 7;AXW291;Wholesale;LONDON;UK;Medsep Group;Lower Regions;AZ;244;11;1159,1;12750,1;602,732;6120,048;48
16;SO - 0007187;12.09.2016;Product 7;AXW291;Wholesale;LONDON;UK;Medline;Lower Regions;AZ;153;11;1031,8;11349,8;588,126;4880,414;43
17;SO - 0003378;15.06.2015;Product 7;AXW291;Distributor;LONDON;UK;New Ltd;Lower Regions;AZ;332;11;2351,7;25868,7;1269,918;11899,602;46
18;SO - 0002564;16.03.2015;Product 7;AXW291;Wholesale;LONDON;UK;Exact-Rx, Corp;Lower Regions;AZ;422;12;167,5;2010;103,85;763,8;38
19;SO - 0001344;27.10.2014;Product 7;AXW291;Wholesale;BERLIN;Germany;Bare;Lower Regions;AZ;513;5;2271,3;11356,5;1294,641;4883,295;43
20;SO - 0003600;13.07.2015;Product 7;AXW291;Wholesale;BERLIN;Germany;Nipro;Lower Regions;AZ;333;5;207,7;1038,5;145,39;311,55;30
21;SO - 0008076;26.12.2016;Product 7;AXW291;Wholesale;BERLIN;Germany;U.S. Ltd;Lower Regions;AZ;153;5;1038,5;5192,5;664,64;1869,3;36
22;SO - 0007796;21.11.2016;Product 7;AXW291;Distributor;BERLIN;Germany;Wuxi Group;Lower Regions;AZ;154;5;1782,2;8911;1497,048;1425,76;16
23;SO - 0007429;10.10.2016;Product 7;AXW291;Wholesale;BERLIN;Germany;OUR Ltd;Lower Regions;AZ;153;6;3966,4;23798,4;2974,8;5949,6;25
24;SO - 0003322;08.06.2015;Product 7;AXW291;Wholesale;BERLIN;Germany;Procter Corp;Lower Regions;AZ;425;7;5272,9;36910,3;4165,591;7751,163;21
25;SO - 0003773;03.08.2015;Product 7;AXW291;Wholesale;BERLIN;Germany;AuroMedics Corp;Lower Regions;AZ;335;7;2479;17353;2007,99;3297,07;19
26;SO - 0008068;26.12.2016;Product 7;AXW291;Wholesale;BERLIN;Germany;Medline;Lower Regions;AZ;153;7;3403,6;23825,2;2688,844;5003,292;21
